,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
172,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
173,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.693147181
174,42,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
175,43,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
176,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
177,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
178,0,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
179,1,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.693147181
180,2,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
181,3,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
182,7,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
183,9,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
184,11,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
185,12,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
186,13,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
187,15,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
188,19,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
189,21,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
190,22,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
191,23,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
192,25,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.693147181
193,26,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
194,27,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
195,33,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
196,31,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,2.708050201
197,38,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
198,39,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
199,40,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
200,43,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
201,46,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
202,58,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
203,59,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
204,60,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
205,61,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
206,63,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
207,64,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
208,65,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
209,66,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
210,69,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
211,71,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
212,0,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
213,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
214,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
215,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
216,19,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
217,20,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
218,22,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
219,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
220,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
221,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
222,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
223,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
224,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.693147181
225,46,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
226,47,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
227,50,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
228,51,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
229,54,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
230,58,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
231,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
232,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
233,1,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.693147181
234,2,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
235,8,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
236,9,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
237,13,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
238,14,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
