STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,1,2990,0,3187,2808,123,1776,3960,424,6974,1979,109,200,822,9449,3378,2023,8192,3,7,2449,86,1218,5134,5848,339,8,1393,11821,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,0,1764,0,3276,3308,165,1196,3510,506,4670,2280,77,245,781,6467,2809,2303,10169,4,3,1904,69,1031,5499,3931,299,18,1106,11721,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,0,1882,0,3099,3899,223,1508,4457,439,5765,2196,107,310,927,7530,3142,2542,9545,13,3,1903,95,978,5613,4604,314,10,1408,12458,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,0,2040,1,3164,3982,235,1830,5593,688,6054,2044,98,647,1332,6308,2480,2870,10002,26,5,2040,76,1115,6702,4631,246,9,1402,14385,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,0,2041,0,3487,5479,242,1860,4589,354,5567,2394,65,517,1264,8224,3609,3067,11365,32,2,2217,99,1064,6582,5846,285,14,1385,16429,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,0,2395,0,4299,7064,233,1766,4814,447,5774,2253,73,597,1202,8572,3728,3580,12287,15,7,2432,120,1228,7141,5521,457,15,1321,16546,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,0,2737,0,3394,6193,352,3211,8153,748,6933,2746,82,578,1662,10778,4301,4843,17898,64,6,3979,184,1386,11797,5857,364,9,1665,16875,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,7,2971,0,4413,6112,416,3526,6155,631,8806,3055,139,533,1823,10948,4272,5325,15530,50,3,3318,162,1954,10284,7725,403,18,1882,19538,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,13,2991,1,4148,6377,383,2624,7065,569,8353,2587,107,539,1695,8560,4642,4621,14848,107,1,2745,187,1581,7424,5529,599,22,1570,13713,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,0,2948,0,3492,5022,458,2644,5573,710,6385,2219,87,357,1288,10980,5225,4105,15496,86,7,2821,203,1289,6421,5833,346,11,1097,16809,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,0,3302,0,4209,5865,406,2630,5285,718,7156,2319,91,509,1605,11258,6481,3863,13803,96,4,2868,187,1252,6780,7209,306,19,1145,16503,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,2,3927,0,5098,6502,664,3139,7969,954,8681,2648,103,608,1674,14906,8236,6186,19511,45,4,3655,271,1934,8958,9345,431,9,1389,22216,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,1,3949,1,4001,5229,352,2419,5184,756,9139,2643,112,565,1583,10969,5634,3436,14596,69,5,3197,163,1189,5716,7419,432,8,1322,19735,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
