Month,State_EV_Group,Vehicle_Category,Vehicle_Class,Log_EV_Sales_Quantity1,Type,Log_EV_Sales_Quantity,State_EV_Category_1,Vehicle_Category_1
11,2,4,1,0.02923867,Forecast,0.05847734,Moderate-EV-Adoption-States,Others
11,1,4,1,0.034635235,Forecast,0.06927047,Low-EV-Adoption-States,Others
11,0,4,2,0.16394271,Forecast,0.32788542,High-EV-Adoption-States,Others
11,2,4,2,0.13781853,Forecast,0.27563706,Moderate-EV-Adoption-States,Others
11,1,4,2,0.17494516,Forecast,0.34989032,Low-EV-Adoption-States,Others
11,0,4,3,0.6599712,Forecast,1.3199424,High-EV-Adoption-States,Others
11,2,4,3,0.50451535,Forecast,1.0090307,Moderate-EV-Adoption-States,Others
11,1,4,3,0.54232925,Forecast,1.0846585,Low-EV-Adoption-States,Others
11,0,3,4,-0.5899101,Forecast,-1.1798202,High-EV-Adoption-States,Bus
11,2,3,4,0.836619,Forecast,1.673238,Moderate-EV-Adoption-States,Bus
11,1,3,4,-0.059577286,Forecast,-0.119154572,Low-EV-Adoption-States,Bus
11,0,4,5,0.6638072,Forecast,1.3276144,High-EV-Adoption-States,Others
11,2,4,5,0.58963007,Forecast,1.17926014,Moderate-EV-Adoption-States,Others
11,1,4,5,0.6182797,Forecast,1.2365594,Low-EV-Adoption-States,Others
11,0,4,6,1.1092976,Forecast,2.2185952,High-EV-Adoption-States,Others
11,2,4,6,0.43246162,Forecast,0.86492324,Moderate-EV-Adoption-States,Others
11,1,4,6,0.46111137,Forecast,0.92222274,Low-EV-Adoption-States,Others
11,0,3,9,0.47232512,Forecast,0.94465024,High-EV-Adoption-States,Bus
11,2,3,9,0.05837434,Forecast,0.11674868,Moderate-EV-Adoption-States,Bus
11,1,3,9,0.119399235,Forecast,0.23879847,Low-EV-Adoption-States,Bus
11,0,1,8,1.2245601,Forecast,2.4491202,High-EV-Adoption-States,3-Wheelers
11,2,1,8,0.1942143,Forecast,0.3884286,Moderate-EV-Adoption-States,3-Wheelers
11,1,1,8,-0.17566074,Forecast,-0.35132148,Low-EV-Adoption-States,3-Wheelers
11,0,1,7,1.4649208,Forecast,2.9298416,High-EV-Adoption-States,3-Wheelers
11,2,1,7,1.2579608,Forecast,2.5159216,Moderate-EV-Adoption-States,3-Wheelers
11,1,1,7,1.2238706,Forecast,2.4477412,Low-EV-Adoption-States,3-Wheelers
11,0,4,10,0.08010658,Forecast,0.16021316,High-EV-Adoption-States,Others
11,2,4,10,0.09033129,Forecast,0.18066258,Moderate-EV-Adoption-States,Others
11,1,4,10,0.105954394,Forecast,0.211908788,Low-EV-Adoption-States,Others
11,0,4,11,0.20066456,Forecast,0.40132912,High-EV-Adoption-States,Others
11,2,4,11,0.14785458,Forecast,0.29570916,Moderate-EV-Adoption-States,Others
11,1,4,11,0.17348982,Forecast,0.34697964,Low-EV-Adoption-States,Others
11,0,2,12,3.3660448,Forecast,6.7320896,High-EV-Adoption-States,4-Wheelers
11,2,2,12,0.88330466,Forecast,1.76660932,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,12,0.59306043,Forecast,1.18612086,Low-EV-Adoption-States,4-Wheelers
11,0,2,15,0.43770018,Forecast,0.87540036,High-EV-Adoption-States,4-Wheelers
11,2,2,15,1.2252393,Forecast,2.4504786,Moderate-EV-Adoption-States,4-Wheelers
11,1,2,15,0.21578556,Forecast,0.43157112,Low-EV-Adoption-States,4-Wheelers
11,0,0,13,2.1340578,Forecast,4.2681156,High-EV-Adoption-States,2-Wheelers
11,2,0,13,1.72849,Forecast,3.45698,Moderate-EV-Adoption-States,2-Wheelers
11,1,0,13,0.5756486,Forecast,1.1512972,Low-EV-Adoption-States,2-Wheelers
11,0,0,14,-0.12334481,Forecast,-0.24668962,High-EV-Adoption-States,2-Wheelers
